Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam,Kalkinma_Endeksi
Malawi,2004,6.9,2.1,24.33,60000.0,82.45,0.15,0.0,1.34,89.932884,596.341,5.23,769.9999809,11.986706828095237,5.420497693,282.5671076,203.0,118484.0,-13.254308,34.301525,0.12378451240366127
Malawi,2005,6.696063,2.2,23.7,60000.0,83.17,0.14,0.0,1.39,90.84968,564.4167,5.09,759.9999905,11.986706828095237,3.268725827,289.5552148,203.0,118484.0,-13.254308,34.301525,0.12303452617266092
Malawi,2006,3.6532273,2.3,23.07,50000.0,82.8,0.14,0.0,1.42,91.02564,566.84424,4.85,779.9999714,11.986706828095237,4.699999992,308.1636182,203.0,118484.0,-13.254308,34.301525,0.12046813183879844
Malawi,2007,7.476292,2.3,22.45,60000.0,82.21,0.14,0.0,1.45,91.19497,548.9341,4.59,829.9999833,11.986706828095237,9.600000004,332.2590946,203.0,118484.0,-13.254308,34.301525,0.12438819806506593
Malawi,2008,7.8758984,2.4,21.82,94224000.0,80.39,0.11,0.0,1.62,93.64162,607.96954,4.46,959.9999785,11.986706828095237,7.639736775,387.6057212,203.0,118484.0,-13.254308,34.301525,0.1222389136636835
Malawi,2009,8.285444,2.45,21.22,70000.0,80.01,0.13,0.0,1.58,92.39766,549.8785,4.15,980.0000191,11.986706828095237,8.328110276,438.2118568,203.0,118484.0,-13.254308,34.301525,0.12184178423475608
Malawi,2010,8.7,2.5,20.63,15180000.0,81.21,0.13,0.0,1.83,93.36735,640.52893,3.86,889.9999857,11.986706828095237,6.874065633,478.6686885,203.0,118484.0,-13.254308,34.301525,0.12191829031195994
Malawi,2011,7.6,2.5,20.12,2410000.0,80.17,0.13,0.0,1.88,93.53234,626.8056,3.79,930.0000072,11.986706828095237,4.854055111,534.9510502,203.0,118484.0,-13.254308,34.301525,0.11924388251113319
Malawi,2012,7.4,2.4,19.61,1690000.0,80.11,0.13,0.0,1.96,93.77991,611.7529,3.77,949.9999881,11.986706828095237,1.885799507,391.5617052,203.0,118484.0,-13.254308,34.301525,0.11757929247143345
Malawi,2013,9.0,2.3,19.24,36020000.0,79.68,0.13,0.0,1.96,93.77991,604.7202,3.61,980.0000191,11.986706828095237,5.199999997,348.4298737,203.0,118484.0,-13.254308,34.301525,0.11936358515029313
