Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam,Karbon_Yogunlugu,Yenilenebilir_Enerji_Kullanimi,Enerji_Verimliligi,Nufusun_Elektrik_Erisimi,Elektrik_Erisim_Yillik_Degisim,CO2_Yillik_Degisim
Brazil,2008,98.52663,93.1,432.21,19530000.0,47.04,55.87,13.21,385.61,87.71251,15255.087,3.86,373630.0049,43.366776,5.094195448,8831.183643,25.0,8515770.0,-14.235004,-51.92528,24.492158248589472,0.8419545373172688,3952.0950776178215,2463.16575,0.004089156138809225,0.05976289835327586
Brazil,2009,98.85694,93.6,438.04,174490000.0,48.92,36.32,12.22,410.13,92.08145,15004.24,3.74,350000.0,46.30883,-0.125812003,8597.794335,25.0,8515770.0,-14.235004,-51.92528,23.326739641594642,1.3469162995557629,4011.828876898079,2471.4235,0.0033524946504310815,-0.06324439844258345
Brazil,2010,98.6,94.0,457.6,135380000.0,46.81,61.02,13.77,435.99,88.053566,16220.931,3.85,397929.9927,44.246536,7.528225818,11286.07154,25.0,8515770.0,-14.235004,-51.92528,24.531883693975395,0.767125532611001,4213.228831059397,2465.0,-0.002599109379675335,0.13694283628571435
Brazil,2011,99.32869,94.3,470.43,187660000.0,45.26,50.27,14.8,462.32,90.468155,16629.84,3.75,418309.9976,43.91006,3.974423079,13245.38737,25.0,8515770.0,-14.235004,-51.92528,25.154180533306395,0.9003381738593587,4434.623999881744,2483.2172499999997,0.007390365111561881,0.05121505107398261
Brazil,2012,99.51949,94.7,482.3,228480000.0,43.49,77.21,15.17,454.78,85.88896,16963.494,3.82,454230.011,42.06637,1.921175985,12370.22325,25.0,8515770.0,-14.235004,-51.92528,26.77691347077436,0.5632690066046325,4440.705235485845,2487.98725,0.0019208951613074454,0.08586936388345112
Brazil,2013,99.57515,95.0,496.6,93260000.0,42.32,112.0,14.65,436.84,80.12387,17221.44,3.88,486839.9963,39.836597,3.00482267,12300.38671,25.0,8515770.0,-14.235004,-51.92528,28.269412795910217,0.3778571428568055,4438.515463803131,2489.37875,0.0005592874320394792,0.07179178942449926
Brazil,2014,99.650246,95.2,524.97,489030000.0,41.71,136.58,14.46,430.82,76.527,17519.043,3.98,511619.9951,38.852745,0.50395574,12112.83496,25.0,8515770.0,-14.235004,-51.92528,29.203649714199567,0.30538878313054224,4401.769597879353,2491.2561499999997,0.0007541640660346793,0.05089967748814561
Brazil,2015,99.7109,95.4,550.89,2300000.0,43.62,128.85,13.91,428.81,77.456825,17140.15,4.05,485339.9963,40.603523,-3.545763393,8813.989806,25.0,8515770.0,-14.235004,-51.92528,28.315971347975367,0.33853317811382344,4232.135802364639,2492.7725,0.0006086688436273135,-0.051366246533940396
Brazil,2016,99.7,95.7,588.73,161960000.0,45.46,93.06,14.97,463.37,83.713684,16591.764,4.03,447079.9866,43.5387,-3.275916906,8710.06329,25.0,8515770.0,-14.235004,-51.92528,26.94589837463937,0.4885020416930061,4117.063027193125,2492.5,-0.00010931603265029732,-0.07883135532137475
Brazil,2017,99.8,95.7,617.89,521620000.0,45.33,101.9,14.86,464.4,82.4661,16608.686,4.05,456489.9902,43.280678,1.322869054,9928.675897,25.0,8515770.0,-14.235004,-51.92528,27.485015382914696,0.4448478900878853,4100.910123355534,2495.0,0.0010030090270811698,0.021047695897913332
Brazil,2018,99.7,95.8,652.03,256430000.0,46.95,86.69,14.79,492.66,85.409164,16539.11,3.93,433989.9902,46.080498,1.783666761,9151.381732,25.0,8515770.0,-14.235004,-51.92528,26.24022636042689,0.5415849578953263,4208.424936279684,2492.5,-0.0010020040080159776,-0.049289142112715734
Brazil,2019,99.8,95.8,684.92,50980000.0,47.57,90.91,15.16,512.59,85.30534,16681.945,3.93,434299.9878,47.304844,1.411152985,8897.552966,25.0,8515770.0,-14.235004,-51.92528,26.034133777566105,0.5232647673517509,4244.769719993771,2495.0,0.0010030090270811698,0.0007142966589095412
Brazil,2020,100.0,95.9,705.9,94224000.0,32.63816497829233,81.15,13.21,520.01,86.79134,15921.327,5.3073450588901805,159866.46268574602,49.47188,-4.059048273,6796.844542,25.0,8515770.0,-14.235004,-51.92528,10.04102627160073,0.4021955018885041,2999.866566623675,2500.0,0.002004008016032177,-0.6318985328653375
Canada,2000,100.0,100.0,113.13749816041205,94224000.0,22.04,155.56,69.16,363.7,73.5631,118875.336,9.31,514220.0,29.767817,4.917762744,24271.00206,4.0,9984670.0,56.130366,-106.346771,4.325708067819888,0.1416816662380164,12768.5645541056,400.0,0.0,0.0
Canada,2001,100.0,100.0,113.13749816041205,94224000.0,21.53,159.93,72.86,339.58,72.05828,115218.68,9.04,506620.0,28.20141,1.405527589,23822.06012,4.0,9984670.0,56.130366,-106.346771,4.3970300649165575,0.13462139686104257,12745.429203398835,400.0,0.0,-0.014779666290692717
Canada,2002,100.0,100.0,113.13749816041205,94224000.0,21.77,155.12,71.75,357.06,73.43517,117915.38,8.77,524349.9756,28.546556,3.422146171,24255.33858,4.0,9984670.0,56.130366,-106.346771,4.44683276770172,0.1403429602887182,13445.311288330156,400.0,0.0,0.03499659626544549
Canada,2003,100.0,100.0,113.13749816041205,94224000.0,21.18,157.35,71.15,343.88,72.50952,117365.12,8.89,544539.978,27.180014,3.811090153,28300.4631,4.0,9984670.0,56.130366,-106.346771,4.639708782302613,0.13460438512860845,13201.925759131585,400.0,0.0,0.038504821854710825
Canada,2004,100.0,100.0,113.13749816041205,94224000.0,21.58,148.86,85.87,347.68,74.44069,118078.05,8.77,536419.9829,26.827923,3.914028782,32143.68141,4.0,9984670.0,56.130366,-106.346771,4.542927181639602,0.1449684267095627,13463.859748991292,400.0,0.0,-0.01491166016831924
Canada,2005,100.0,100.0,113.13749816041205,94224000.0,21.99,150.78,86.83,368.86,75.1381,117744.77,8.46,549030.0293,28.265476,4.995860869,36382.50792,4.0,9984670.0,56.130366,-106.346771,4.662882515291337,0.14584162355740427,13917.82151283785,400.0,0.0,0.023507786439698863
Canada,2006,100.0,100.0,113.13749816041205,94224000.0,21.92,139.71,92.44,360.48,76.42542,115946.31,8.25,540530.0293,27.616468,4.165817627,40504.06073,4.0,9984670.0,56.130366,-106.346771,4.661899367905715,0.15689642831568473,14054.098181647829,400.0,0.0,-0.015481848981625412
Canada,2007,100.0,100.0,113.13749816041205,94224000.0,21.84,149.36,88.19,375.42,75.63339,119158.6,7.71,571630.0049,27.694315,6.868608857,44659.89514,4.0,9984670.0,56.130366,-106.346771,4.797219880898232,0.14622388859122507,15455.071335726912,400.0,0.0,0.057536073694694156
Canada,2008,100.0,100.0,113.13749816041205,94224000.0,21.91,141.33,88.3,385.21,77.01353,116479.15,7.44,550469.9707,28.590092,1.007622695,46710.50558,4.0,9984670.0,56.130366,-106.346771,4.725909922076182,0.15502724120840938,15655.799730972367,400.0,0.0,-0.03701701103618904
